Scary,Costume,film.Title,Title,Release.Year,Type,Genre,Plot,Poster,Metascore,imdbRating,imdbVotes,tomatoMeter,tomatoImage,tomatoConsensus,tomatoURL,BoxOffice,Awards,Fun.Facts,Director,Actor.1,Actor.2,Actor.3,Country,Website,Locations,formatted_address,lat,lng,location_type,Romance,Musical,Drama,Action,Comedy,SciFi,Horror,Adventure,Fantasy,Family,Crime,Western,FilmNoir,Thriller,Mystery,War,Biography,Documentary,Short,badgeo,poster_staging,poster_main
FALSE,FALSE,40 Days and 40 Nights,40 Days and 40 Nights,2002,movie,"Comedy, Romance","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjY1ZWYwM2MtNDk0YS00NjY5LWJiYzQtZjVmYmNlN2Y0MzVkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,53,5.6,"63,398",38,rotten,"As romantic comedies go, 40 Days and 40 Nights is smutty, sexist, and puerile.",http://www.rottentomatoes.com/m/40_days_and_40_nights/,N/A,1 win & 2 nominations.,"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in CafÃƒÂ© Trieste.",Michael Lehmann,Josh Hartnett,Shaynnyn Sossamon,,"USA, UK, France",http://www.miramax.com/40daysand40nights,CafÃƒÂ© Trieste (609 Vallejo),"601 Vallejo St, San Francisco, CA 94133, USA",37.7986567,-122.4072951,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/40 Days and 40 Nights.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/40 Days and 40 Nights.jpg
FALSE,FALSE,48 Hours,NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Nick Nolte,Eddie Murphy,Annette O'Toole,NA,NA,,"San Francisco, CA, USA",37.7749295,-122.4194155,APPROXIMATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/48 Hours.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/48 Hours.jpg
FALSE,FALSE,50 First Dates,50 First Dates,2004,movie,"Comedy, Romance","Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_SX300.jpg,48,6.8,"273,290",44,rotten,"Gross-out humor overwhelms the easy chemistry between Adam Sandler and Drew Barrymore, who bring some energy and yucks to this tale of a girl with short-term memory loss and the guy who tries to get her to love him.",http://www.rottentomatoes.com/m/50_first_dates/,"$120,776,832.00 ",6 wins & 9 nominations.,,Peter Segal,Adam Sandler,Drew Barrymore,,USA,http://www.sonypictures.com/movies/50firstdates/index.html,Rainforest CafÃƒÂ© (145 Jefferson Street),"145 Jefferson St, San Francisco, CA 94133, USA",37.8080569,-122.4147065,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/50 First Dates.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/50 First Dates.jpg
FALSE,FALSE,A Jitney Elopement,A Jitney Elopement,1915,movie,"Short, Comedy","Edna's father wants her to marry wealthy Count He-Ha. Charlie, Edna's true love, impersonates the Count at dinner, but the real Count shows up and Charlie is thrown out. Later on Charlie ...","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDc5Nzg4M15BMl5BanBnXkFtZTYwODk0NDE5._V1._CR1,3,325,439_SY132_CR4,0,89,132_AL_.jpg_V1_SX300.jpg",N/A,6,799,N/A,N/A,N/A,http://www.rottentomatoes.com/m/charlie_chaplin/,N/A,N/A,,Charles Chaplin,Charles Chaplin,Edna Purviance,,USA,N/A,20th and Folsom Streets,"Folsom St & 20th St, San Francisco, CA 94110, USA",37.7589107,-122.4147198,APPROXIMATE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Jitney Elopement.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Jitney Elopement.jpg
FALSE,FALSE,A Jitney Elopement,A Jitney Elopement,1915,movie,"Short, Comedy","Edna's father wants her to marry wealthy Count He-Ha. Charlie, Edna's true love, impersonates the Count at dinner, but the real Count shows up and Charlie is thrown out. Later on Charlie ...","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDc5Nzg4M15BMl5BanBnXkFtZTYwODk0NDE5._V1._CR1,3,325,439_SY132_CR4,0,89,132_AL_.jpg_V1_SX300.jpg",N/A,6,799,N/A,N/A,N/A,http://www.rottentomatoes.com/m/charlie_chaplin/,N/A,N/A,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ",Charles Chaplin,Charles Chaplin,Edna Purviance,,USA,N/A,Golden Gate Park,"Golden Gate Park, San Francisco, CA 94122, USA",37.7694208,-122.4862138,APPROXIMATE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Jitney Elopement.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Jitney Elopement.jpg
FALSE,FALSE,A Night Full of Rain,A Night Full of Rain,1978,movie,Drama,Candice Bergen and Giancarlo Giannini star as two people from very different worlds who fall in love in A Night Full of Rain. When romantic Italian journalist Paolo (Giannini) rescues ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,N/A,6.1,155,N/A,N/A,N/A,http://www.rottentomatoes.com/m/a_night_full_of_rain/,N/A,1 nomination.,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Lina WertmÃƒÂ¼ller,Candice Bergen,Giancarlo Gianni,,"Italy, Canada",N/A,Embarcadero Freeway,"Southern Embarcadero Fwy, San Francisco, CA, USA",37.7489402,-122.3928481,GEOMETRIC_CENTER,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg
FALSE,FALSE,A Night Full of Rain,A Night Full of Rain,1978,movie,Drama,Candice Bergen and Giancarlo Giannini star as two people from very different worlds who fall in love in A Night Full of Rain. When romantic Italian journalist Paolo (Giannini) rescues ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,N/A,6.1,155,N/A,N/A,N/A,http://www.rottentomatoes.com/m/a_night_full_of_rain/,N/A,1 nomination.,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Lina WertmÃƒÂ¼ller,Candice Bergen,Giancarlo Gianni,,"Italy, Canada",N/A,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason St, San Francisco, CA 94108, USA",37.7924257,-122.4106032,APPROXIMATE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg
FALSE,FALSE,A Night Full of Rain,A Night Full of Rain,1978,movie,Drama,Candice Bergen and Giancarlo Giannini star as two people from very different worlds who fall in love in A Night Full of Rain. When romantic Italian journalist Paolo (Giannini) rescues ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,N/A,6.1,155,N/A,N/A,N/A,http://www.rottentomatoes.com/m/a_night_full_of_rain/,N/A,1 nomination.,The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Lina WertmÃƒÂ¼ller,Candice Bergen,Giancarlo Gianni,,"Italy, Canada",N/A,San Francisco Chronicle (901 Mission Street at 15th Street),"901 Mission St, San Francisco, CA 94103, USA",37.7824374,-122.4063456,APPROXIMATE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg
FALSE,FALSE,A Night Full of Rain,A Night Full of Rain,1978,movie,Drama,Candice Bergen and Giancarlo Giannini star as two people from very different worlds who fall in love in A Night Full of Rain. When romantic Italian journalist Paolo (Giannini) rescues ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,N/A,6.1,155,N/A,N/A,N/A,http://www.rottentomatoes.com/m/a_night_full_of_rain/,N/A,1 nomination.,,Lina WertmÃƒÂ¼ller,Candice Bergen,Giancarlo Gianni,,"Italy, Canada",N/A,Broadway (North Beach),"Broadway, San Francisco, CA, USA",37.7984385,-122.4022479,GEOMETRIC_CENTER,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Night Full of Rain.jpg
FALSE,FALSE,A Smile Like Yours,A Smile Like Yours,1997,movie,"Comedy, Romance",Greg Kinnear plays a carriage-shy husband in a romantic comedy about a couple trying to conceive a child.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDc4MTc3OF5BMl5BanBnXkFtZTcwMjg3MzQyMQ@@._V1_SX300.jpg,N/A,4.8,"1,193",N/A,N/A,N/A,http://www.rottentomatoes.com/m/the_risk_is_yours/,N/A,1 nomination.,,Keith Samples,Greg Kinnear,Lauren Holly,,USA,N/A,75 California Street,"75 California St, San Francisco, CA 94111, USA",37.7935632,-122.3973351,RANGE_INTERPOLATED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Smile Like Yours.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Smile Like Yours.jpg
FALSE,FALSE,A Smile Like Yours ,A Smile Like Yours,1997,movie,"Comedy, Romance",Greg Kinnear plays a carriage-shy husband in a romantic comedy about a couple trying to conceive a child.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDc4MTc3OF5BMl5BanBnXkFtZTcwMjg3MzQyMQ@@._V1_SX300.jpg,N/A,4.8,"1,193",N/A,N/A,N/A,http://www.rottentomatoes.com/m/the_risk_is_yours/,N/A,1 nomination.,Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Keith Samples,Greg Kinnear,Lauren Holly,,USA,N/A,Grace Cathedral Episcopal Church (1100 California Street),"1100 California St, San Francisco, CA 94108, USA",37.7918581,-122.4134328,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg
FALSE,FALSE,A Smile Like Yours ,A Smile Like Yours,1997,movie,"Comedy, Romance",Greg Kinnear plays a carriage-shy husband in a romantic comedy about a couple trying to conceive a child.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDc4MTc3OF5BMl5BanBnXkFtZTcwMjg3MzQyMQ@@._V1_SX300.jpg,N/A,4.8,"1,193",N/A,N/A,N/A,http://www.rottentomatoes.com/m/the_risk_is_yours/,N/A,1 nomination.,,Keith Samples,Greg Kinnear,Lauren Holly,,USA,N/A,Hills Brothers Plaza (Embarcadero at Harrison Street),"Folsom St, San Francisco, CA 94105, USA",37.790478,-122.3901724,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg
FALSE,FALSE,A Smile Like Yours ,A Smile Like Yours,1997,movie,"Comedy, Romance",Greg Kinnear plays a carriage-shy husband in a romantic comedy about a couple trying to conceive a child.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDc4MTc3OF5BMl5BanBnXkFtZTcwMjg3MzQyMQ@@._V1_SX300.jpg,N/A,4.8,"1,193",N/A,N/A,N/A,http://www.rottentomatoes.com/m/the_risk_is_yours/,N/A,1 nomination.,SFO has a museum dedicated to aviation history. ,Keith Samples,Greg Kinnear,Lauren Holly,,USA,N/A,San Francisco International Airport,"San Francisco International Airport, San Francisco, CA 94128, USA",37.6213129,-122.3789554,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A Smile Like Yours .jpg
FALSE,FALSE,A View to a Kill,A View to a Kill,1985,movie,"Action, Adventure, Thriller",An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_SX300.jpg,N/A,6.3,"70,689",36,rotten,"Absurd even by Bond standards, A View to a Kill is weighted down by campy jokes and a noticeable lack of energy.",http://www.rottentomatoes.com/m/view_to_a_kill/,N/A,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",John Glen,Roger Moore,Christopher Walken,Tanya Roberts,UK,N/A,City Hall,"1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646,APPROXIMATE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A View to a Kill.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A View to a Kill.jpg
FALSE,FALSE,A View to a Kill,A View to a Kill,1985,movie,"Action, Adventure, Thriller",An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_SX300.jpg,N/A,6.3,"70,689",36,rotten,"Absurd even by Bond standards, A View to a Kill is weighted down by campy jokes and a noticeable lack of energy.",http://www.rottentomatoes.com/m/view_to_a_kill/,N/A,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,,John Glen,Roger Moore,Christopher Walken,Tanya Roberts,UK,N/A,Port of San Francisco ,"Port Of San Francisco, Pier 1 The Embarcadero, San Francisco, CA 94111, USA",37.7968374,-122.3950767,APPROXIMATE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/A View to a Kill.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/A View to a Kill.jpg
